user_id,timestamp,page_url
U201,2024-01-10 09:00:00,/home
U201,2024-01-10 09:02:00,/products
U201,2024-01-10 09:05:00,/product/detail?id=101
U201,2024-01-10 09:08:00,/cart
U201,2024-01-10 09:10:00,/checkout
U201,2024-01-10 09:15:00,/payment/success
U202,2024-01-10 10:00:00,/home
U202,2024-01-10 10:02:00,/search?q=promotion
U202,2024-01-10 10:05:00,/product/detail?id=202
U202,2024-01-10 10:08:00,/cart
U203,2024-01-12 14:00:00,/home
U203,2024-01-12 14:03:00,/products
U203,2024-01-12 14:06:00,/product/detail?id=303
U203,2024-01-12 14:10:00,/cart
U203,2024-01-12 14:12:00,/checkout
U203,2024-01-12 14:15:00,/payment/success
U204,2024-01-12 16:00:00,/products
U204,2024-01-12 16:02:00,/product/detail?id=404
U204,2024-01-12 16:05:00,/cart
U205,2024-01-14 08:00:00,/home
U205,2024-01-14 08:02:00,/products
U205,2024-01-14 08:06:00,/product/detail?id=505
U205,2024-01-14 08:10:00,/cart
U205,2024-01-14 08:12:00,/checkout
U205,2024-01-14 08:18:00,/payment/success
U206,2024-01-14 11:00:00,/search?q=holiday
U206,2024-01-14 11:03:00,/product/detail?id=606
U206,2024-01-14 11:07:00,/products
U206,2024-01-14 11:10:00,/product/detail?id=707
U206,2024-01-14 11:15:00,/cart
U207,2024-01-16 09:00:00,/home
U207,2024-01-16 09:02:00,/products
U207,2024-01-16 09:05:00,/product/detail?id=808
U207,2024-01-16 09:10:00,/cart
U207,2024-01-16 09:12:00,/checkout
U207,2024-01-16 09:20:00,/payment/success
U208,2024-01-16 13:00:00,/home
U208,2024-01-16 13:01:00,/home
U208,2024-01-16 13:02:00,/products
U208,2024-01-16 13:06:00,/product/detail?id=909
U209,2024-01-18 10:00:00,/home
U209,2024-01-18 10:03:00,/search?q=newyear
U209,2024-01-18 10:06:00,/product/detail?id=101
U209,2024-01-18 10:10:00,/cart
U209,2024-01-18 10:15:00,/checkout
U209,2024-01-18 10:20:00,/payment/success
U210,2024-01-18 15:00:00,/products
U210,2024-01-18 15:03:00,/product/detail?id=202
U210,2024-01-18 15:07:00,/products
U210,2024-01-18 15:10:00,/product/detail?id=303
U210,2024-01-18 15:15:00,/cart
U211,2024-01-20 09:00:00,/home
U211,2024-01-20 09:02:00,/products
U211,2024-01-20 09:06:00,/product/detail?id=404
U211,2024-01-20 09:10:00,/cart
U211,2024-01-20 09:12:00,/checkout
U211,2024-01-20 09:18:00,/payment/success
U212,2024-01-20 14:00:00,/home
U212,2024-01-20 14:03:00,/search?q=sale
U212,2024-01-20 14:07:00,/product/detail?id=505
U212,2024-01-20 14:12:00,/cart
U212,2024-01-20 14:15:00,/checkout
U213,2024-01-22 10:00:00,/home
U213,2024-01-22 10:02:00,/products
U213,2024-01-22 10:05:00,/product/detail?id=606
U213,2024-01-22 10:09:00,/cart
U213,2024-01-22 10:12:00,/checkout
U213,2024-01-22 10:20:00,/payment/success
U214,2024-01-22 16:00:00,/products
U214,2024-01-22 16:03:00,/product/detail?id=707
U214,2024-01-22 16:07:00,/cart
U215,2024-01-24 09:00:00,/home
U215,2024-01-24 09:03:00,/products
U215,2024-01-24 09:07:00,/product/detail?id=808
U215,2024-01-24 09:12:00,/cart
U215,2024-01-24 09:15:00,/checkout
U215,2024-01-24 09:22:00,/payment/success
U216,2024-01-24 13:00:00,/search?q=clearance
U216,2024-01-24 13:04:00,/product/detail?id=909
U216,2024-01-24 13:09:00,/cart
U216,2024-01-24 13:12:00,/checkout
U216,2024-01-24 13:18:00,/payment/success
U217,2024-01-26 10:00:00,/home
U217,2024-01-26 10:02:00,/products
U217,2024-01-26 10:05:00,/product/detail?id=101
U217,2024-01-26 10:10:00,/cart
U217,2024-01-26 10:13:00,/checkout
U217,2024-01-26 10:20:00,/payment/success
U218,2024-01-26 15:00:00,/home
U218,2024-01-26 15:03:00,/search?q=gift
U218,2024-01-26 15:07:00,/product/detail?id=202
U218,2024-01-26 15:12:00,/cart
U219,2024-01-28 09:00:00,/home
U219,2024-01-28 09:02:00,/products
U219,2024-01-28 09:06:00,/product/detail?id=303
U219,2024-01-28 09:11:00,/cart
U219,2024-01-28 09:14:00,/checkout
U219,2024-01-28 09:22:00,/payment/success
U220,2024-01-28 14:00:00,/home
U220,2024-01-28 14:02:00,/search?q=final
U220,2024-01-28 14:05:00,/product/detail?id=404
U220,2024-01-28 14:10:00,/cart
U220,2024-01-28 14:13:00,/checkout
